Be_star,Type,RA,DEC,Xcat,Xidentifier,Gamma,e_Gamma,E_Gamma,Fb,e_Fb,E_Fb,Fs,e_Fs,E_Fs,Fm,e_Fm,E_Fm,Fh,e_Fh,E_Fh,HRms,e_HRms,E_HRms,HRhm,e_HRhm,E_HRhm,DR3Name,Plx,RPlx,PM,e_PM,epsi,sepsi,RUWE,G,e_G,BP,e_BP,RP,e_RP,Teff,Gflux,e_Gflux,E_Gflux,dist,e_dist,E_dist,J,e_J,H,e_H,K,e_K,W1,e_W1,W2,e_W2,W3,e_W3,W4,e_W4,Vsini,Vtran,e_Vtran,E_Vtran,LX,e_LX,E_LX,fX2O,e_fX2O,E_fX2O,match_flag,Class,ref
RX J0048.5-7302,Be,12.14218199,-73.04203573,XMM,J004834.1-730232,0.7,1.0,0.8,1.2e-14,3e-15,3e-15,4e-16,3e-16,3e-16,1.9e-15,4e-16,4e-16,1e-14,3e-15,3e-15,0.6,0.2,0.2,0.7,0.3,0.3,Gaia DR3 4685949198438263040,-0.0328,-1.16,1.45,0.03,0.235,15.97,0.993,14.784,0.003,14.784,0.005,14.668,0.006,31470.0,1.236e-11,4e-14,4e-14,,,,14.7,0.05,14.62,0.05,14.44,0.08,14.12,0.03,13.83,0.03,12.78,,9.34,,,,,,,,,0.001,0.0002,0.0002,0,HMXB,1
RX J0049.2-7311,Be,12.30678073,-73.19385823,CXO,J004913.5-731137,1.2,0.1,0.1,2.27e-13,8e-15,8e-15,6.1e-15,1e-15,1e-15,2.1e-14,1e-15,1e-15,1.99e-13,8e-15,8e-15,0.55,0.07,0.07,0.81,0.05,0.05,Gaia DR3 4685944907831053184,0.0056,0.15,1.34,0.04,0.0,0.0,0.992,16.404,0.003,16.493,0.006,16.216,0.005,30096.0,2.779e-12,7e-15,7e-15,,,,16.11,0.09,15.9,0.2,15.88,,15.19,0.01,15.16,0.02,,,,,,,,,,,,0.082,0.003,0.003,0,HMXB,1
RX J0049.5-7310,Be,12.37421201,-73.18292106,CXO,J004929.7-731058,0.9,0.1,0.1,3.4e-13,1e-14,1e-14,7e-15,1e-15,1e-15,2.7e-14,2e-15,2e-15,3.1e-13,1e-14,1e-14,0.61,0.08,0.08,0.84,0.05,0.05,Gaia DR3 4685944942190772224,-0.0047,-0.04,1.7,0.1,1.32,143.8,3.31,16.202,0.003,16.222,0.005,15.95,0.006,19987.0,3.35e-12,1e-14,1e-14,,,,15.6,0.1,15.3,0.1,15.0,0.2,14.53,0.01,14.39,0.01,,,,,,,,,,,,0.102,0.004,0.004,0,HMXB,1
RX J0049.7-7323,B2Ve,12.42504076,-73.38741548,CXO,J004942.0-732314,2.0,0.2,0.3,3.7e-14,3e-15,3e-15,2e-15,4e-16,4e-16,6.3e-15,6e-16,6e-16,2.8e-14,3e-15,3e-15,0.5,0.1,0.1,0.63,0.09,0.09,Gaia DR3 4685927315640017792,-0.0301,-1.51,1.32,0.02,0.09,2.317,1.035,14.797,0.004,14.841,0.008,14.65,0.01,32368.0,1.222e-11,5e-14,5e-14,,,,14.55,0.04,14.48,0.06,14.3,0.07,13.73,0.03,13.58,0.03,12.85,,9.25,,,,,,,,,0.003,0.0002,0.0002,0,HMXB,1
DZ Tuc,Be,12.68629359,-73.26818073,CXO,J005044.6-731605,0.89,0.06,0.07,4.1e-13,1e-14,1e-14,1.6e-14,1e-15,1e-15,3.8e-14,2e-15,2e-15,3.56e-13,1e-14,1e-14,0.4,0.04,0.04,0.81,0.03,0.03,Gaia DR3 4685928999266932864,-0.0248,-1.01,1.45,0.03,0.064,0.7221,0.987,15.346,0.004,15.346,0.007,15.292,0.008,29222.0,7.37e-12,2e-14,2e-14,,,,15.3,0.05,15.3,0.1,14.8,0.1,14.59,0.03,14.37,0.04,12.76,,9.19,,,,,,,,,0.056,0.001,0.001,0,HMXB,1
SMC 25,Be,12.96678092,-73.17615542,CXO,J005152.0-731034,1.05,0.05,0.05,5.8e-13,2e-14,2e-14,7.2e-14,5e-15,5e-15,6.8e-14,4e-15,4e-15,4.4e-13,2e-14,2e-14,-0.02,0.05,0.05,0.73,0.05,0.05,Gaia DR3 4685938413838450688,-0.0247,-1.39,1.38,0.02,0.11,5.039,1.037,14.335,0.003,14.318,0.003,14.295,0.004,37563.0,1.869e-11,5e-14,5e-14,,,,14.43,0.03,14.45,0.05,14.17,0.07,13.73,0.03,13.56,0.03,12.46,,9.48,,,,,,,,,0.031,0.001,0.001,0,HMXB,1
2E 0050.1-7247,Be,12.97140907,-72.53020645,CXO,J005153.0-723148,1.4,0.3,0.3,2.9e-14,3e-15,3e-15,2.2e-15,8e-16,8e-16,4.3e-15,7e-16,6e-16,2.3e-14,3e-15,3e-15,0.3,0.2,0.2,0.7,0.1,0.1,Gaia DR3 4688984061034529408,0.0078,0.25,1.48,0.04,0.282,22.63,1.279,14.862,0.006,14.72,0.01,14.97,0.02,29611.0,1.15e-11,6e-14,6e-14,,,,14.47,0.03,14.26,0.04,14.26,0.06,14.33,0.03,14.26,0.04,12.92,,8.5,0.3,,,,,,,,0.0026,0.0003,0.0003,0,HMXB,1
X SMC X-3,O9IVe,13.02344958,-72.43451357,CXO,J005205.6-722603,0.77,0.03,0.03,6e-15,2e-15,2e-15,1.3e-15,6e-16,6e-16,7e-16,4e-16,3e-16,4e-15,2e-15,2e-15,-0.3,0.4,0.4,0.7,0.6,0.6,Gaia DR3 4688985847741087744,-0.0401,-1.94,1.48,0.03,0.105,3.188,1.029,14.811,0.003,14.806,0.005,14.745,0.01,19947.0,1.206e-11,3e-14,3e-14,,,,14.82,0.03,14.61,0.05,14.45,0.08,14.38,0.03,14.25,0.04,12.9,0.5,9.23,,,,,,,,,0.0005,0.0002,0.0002,0,HMXB,1
2E 0050.4-7335,Be,13.05832549,-73.32189778,CXO,J005214.0-731918,1.39,0.02,0.03,1.1e-15,4e-16,1e-15,6e-16,3e-16,3e-16,4e-16,2e-16,2e-16,1e-20,1e-20,8.9169e-16,-0.2,0.4,0.4,-1.0,2.1,2.1,Gaia DR3 4685885980866646656,-0.0646,-3.8,1.36,0.02,0.0,0.0,0.916,14.57,0.003,14.612,0.008,14.446,0.005,37632.0,1.506e-11,5e-14,5e-14,,,,14.4,0.03,14.25,0.05,14.11,0.06,13.64,0.03,13.41,0.03,12.4,0.4,8.98,,,,,,,,,7e-05,3e-05,6e-05,0,HMXB,1
2E 0051.1-7214,Be,13.2302835,-71.96841874,XMM,J005255.3-715807,0.9,0.2,0.2,1.27e-12,2e-14,2e-14,7.6e-14,2e-15,2e-15,1.13e-13,2e-15,2e-15,1.08e-12,2e-14,2e-14,0.2,0.02,0.02,0.81,0.02,0.02,Gaia DR3 4689080337014302336,-0.077,-2.95,1.42,0.03,0.0,0.0,0.933,15.466,0.003,15.457,0.006,15.423,0.005,33642.0,6.6e-12,2e-14,2e-14,,,,15.38,0.05,15.16,0.08,15.0,0.1,14.71,0.03,14.56,0.04,12.89,,9.34,,,,,,,,,0.192,0.003,0.003,0,HMXB,1
Cl* NGC 330 ELS 055592,B3IVe,13.34460251,-72.19883642,XRT,11830,,,,9e-15,4e-15,4e-15,2e-15,1e-15,1e-15,2e-15,1e-15,1e-15,5e-15,3e-15,3e-15,-0.2,0.5,0.5,0.5,0.6,0.6,Gaia DR3 4689061812857160832,-0.0182,-0.38,1.42,0.06,0.119,0.7609,1.038,16.538,0.003,16.38,0.01,16.386,0.008,24506.0,2.457e-12,7e-15,7e-15,,,,16.3,0.2,14.67,,15.25,,,,,,,,,,118.0,,,,,,,0.004,0.002,0.002,1,star,
CXOU J005323.8-722715,Be,13.34942184,-72.45429642,CXO,J005323.8-722715,0.9,0.1,0.1,2.4e-13,1e-14,1e-14,1.2e-14,1e-15,1e-15,2.4e-14,2e-15,2e-15,2.1e-13,1e-14,1e-14,0.34,0.07,0.07,0.79,0.06,0.06,Gaia DR3 4689005260999717760,0.0096,0.29,1.47,0.04,0.037,0.1174,0.888,16.185,0.003,16.124,0.005,16.27,0.01,24523.0,3.401e-12,1e-14,1e-14,,,,16.3,0.1,15.8,0.2,16.5,,15.66,0.02,15.32,0.04,,,,,,,,,,,,0.071,0.003,0.003,0,HMXB,1
Cl* NGC 330 ELS 065055,B1IIIe,13.48049322,-72.44595565,CXO,J005355.3-722645,0.71,0.03,0.03,7e-15,1e-15,1e-15,1.7e-15,4e-16,4e-16,1.5e-15,3e-16,3e-16,3.6e-15,9e-16,9e-16,-0.1,0.2,0.2,0.4,0.2,0.2,Gaia DR3 4689005432797634944,-0.0412,-2.16,1.41,0.02,0.104,3.471,0.987,14.665,0.003,14.632,0.005,14.607,0.008,34001.0,1.38e-11,4e-14,4e-14,,,,14.41,0.04,14.21,0.06,14.0,0.07,13.45,0.01,13.4,0.01,,,,,420.0,,,,,,,0.00049,8e-05,8e-05,0,HMXB,1
Cl* NGC 330 ELS 016486,B1IIIe,13.69321968,-72.42300437,CXO,J005446.3-722522,2.1,0.4,0.5,2.5e-14,3e-15,3e-15,1.2e-15,4e-16,4e-16,3.4e-15,5e-16,5e-16,2e-14,3e-15,2e-15,0.5,0.2,0.2,0.7,0.1,0.1,Gaia DR3 4689006257431240960,-0.036,-1.36,1.43,0.03,0.096,1.479,1.012,15.482,0.003,15.451,0.005,15.366,0.005,31598.0,6.5e-12,2e-14,2e-14,,,,15.29,0.06,15.2,0.09,14.8,0.1,14.51,0.03,14.33,0.04,12.63,,8.91,,496.0,,,,,,,0.0039,0.0004,0.0004,0,HMXB,1
Cl* NGC 330 KWBBE 1054,Be,13.89644265,-72.48518194,CXO,J005535.1-722906,0.6,0.1,0.1,4.1e-14,5e-15,4e-15,3e-15,1e-15,1e-15,6e-15,1e-15,1e-15,3.2e-14,4e-15,4e-15,0.3,0.2,0.2,0.7,0.1,0.1,Gaia DR3 4688993200726721408,-0.0173,-0.88,1.42,0.02,0.092,2.742,0.917,14.671,0.003,14.635,0.005,14.671,0.008,36204.0,1.372e-11,4e-14,4e-14,,,,14.53,0.04,14.53,0.06,14.36,0.08,13.93,0.03,13.75,0.03,12.3,,9.05,,,,,,,,,0.003,0.0003,0.0003,1,HMXB,1
Cl* NGC 330 G 68,B5IVe,13.95320073,-72.45357585,XMM,J005549.2-722709,,,,5e-15,3e-15,3e-15,8e-16,4e-16,4e-16,1.1e-15,3e-16,3e-16,3e-15,3e-15,3e-15,0.2,0.3,0.3,0.5,0.7,0.7,Gaia DR3 4688994437677214464,-0.0032,-0.05,1.59,0.08,0.295,2.269,1.084,17.321,0.003,17.298,0.007,17.334,0.01,15386.0,1.195e-12,3e-15,3e-15,,,,,,,,,,,,,,,,,,317.0,,,,,,,0.004,0.002,0.002,1,star,
2E 0054.4-7237,Be,14.0230721,-72.36652009,XMM,J005605.5-722159,,,,1.6e-14,2e-15,2e-15,3e-16,2e-16,2e-16,2.4e-15,3e-16,3e-16,1.3e-14,2e-15,2e-15,0.8,0.2,0.2,0.7,0.2,0.2,Gaia DR3 4689006875906895616,-0.01,-0.3,1.45,0.04,0.133,1.826,0.968,15.974,0.003,15.884,0.005,16.123,0.006,22384.0,4.13e-12,1e-14,1e-14,,,,15.85,0.09,14.19,,14.1,,,,,,,,,,,,,,,,,0.0038,0.0006,0.0006,0,HMXB,1
Cl* NGC 330 KWBBE 222,B2IIIe,14.08276056,-72.46714302,XRT,13539,,,,5.8e-13,5e-14,5e-14,1.5e-13,2e-14,2e-14,1e-13,1e-14,1e-14,3.3e-13,4e-14,4e-14,-0.16,0.1,0.1,0.5,0.1,0.1,Gaia DR3 4688993475604509184,-0.2366,-3.73,1.39,0.07,0.557,33.63,1.519,15.874,0.003,15.556,0.008,15.688,0.009,9997.0,4.53e-12,1e-14,1e-14,,,,,,,,,,,,,,,,,,261.0,,,,,,,0.13,0.01,0.01,1,star,
Cl* NGC 330 ELS 004509,B2IVe,14.16150651,-72.30366664,XMM,J005638.1-721810,,,,6e-15,5e-15,5e-15,6e-16,6e-16,6e-16,4e-16,5e-16,5e-16,5e-15,5e-15,5e-15,-0.2,0.8,0.8,0.9,1.2,1.2,Gaia DR3 4689013713496404864,0.0115,0.33,1.51,0.04,0.0,0.0,0.93,16.367,0.003,16.326,0.004,16.434,0.005,19984.0,2.877e-12,8e-15,8e-15,,,,16.8,0.1,16.25,,15.61,,,,,,,,,,101.0,,,,,,,0.002,0.002,0.002,1,star,
gam Cas,B0IVpe,14.177451,60.7167228,XMM,J005642.4+604300,,,,1.4899e-10,9e-14,9e-14,1.862e-11,2e-14,2e-14,2.273e-11,2e-14,2e-14,1.0764e-10,9e-14,9e-14,0.0993,0.0006,0.0006,0.6513,0.0008,0.0008,Gaia DR3 426558460884582016,,,,,2.042,2968.0,,2.065,0.006,2.73,0.06,2.32,0.04,,1.513e-06,9e-09,9e-09,168.0,3.0,4.0,2.0,0.2,2.0,0.2,1.8,0.2,-0.91,,-0.34,,0.4,0.1,-0.287,0.01,432.0,,,,5.0565854e+32,1.9820254e+31,2.1021213e+31,9.85e-05,6e-07,6e-07,0,GCA,2
RX J0057.4-7325,Be,14.36273442,-73.42207788,CXO,J005727.1-732519,0.7,0.1,0.1,8.3e-13,5e-14,5e-14,4.9e-14,7e-15,7e-15,7.6e-14,8e-15,8e-15,7.1e-13,5e-14,5e-14,0.22,0.09,0.09,0.81,0.08,0.08,Gaia DR3 4685702877789513856,0.0293,1.03,1.51,0.03,0.072,0.7259,0.953,15.625,0.003,15.581,0.006,15.631,0.008,31165.0,5.7e-12,2e-14,2e-14,,,,15.67,0.06,15.6,0.1,15.6,0.2,15.167,0.01,15.2,0.03,,,,,,,,,,,,0.146,0.009,0.009,0,HMXB,1
CXOU J005736.2-721934,Be,14.40007795,-72.32613233,CXO,J005735.9-721934,1.44,0.07,0.07,3.4e-13,1e-14,1e-14,1.53e-14,9e-16,9e-16,4.5e-14,2e-15,2e-15,2.8e-13,1e-14,1e-14,0.49,0.04,0.04,0.72,0.04,0.04,Gaia DR3 4689001343986819072,-0.0089,-0.29,1.43,0.03,0.0,0.0,0.961,15.949,0.003,15.965,0.006,15.852,0.009,31741.0,4.23e-12,1e-14,1e-14,,,,15.74,0.07,15.6,0.1,15.3,0.2,15.22,0.04,15.02,0.06,12.85,,9.12,,,,,,,,,0.08,0.002,0.002,0,HMXB,1
RX J0058.2-7231,Be,14.55245647,-72.51354969,XMM,J005812.5-723048,1.24,0.07,0.08,1.15e-12,2e-14,2e-14,6.6e-15,6e-16,6e-16,2.99e-14,9e-16,9e-16,1.11e-12,2e-14,2e-14,0.64,0.04,0.04,0.95,0.02,0.02,Gaia DR3 4685993080193876608,-0.0384,-1.71,1.41,0.03,0.092,2.343,1.006,14.778,0.003,14.83,0.004,14.639,0.006,32810.0,1.243e-11,3e-14,3e-14,,,,14.55,0.04,14.44,0.07,14.18,0.06,13.73,0.03,13.48,0.03,12.5,0.5,8.77,,,,,,,,,0.092,0.002,0.002,0,HMXB,1
[HP2004] 39,Be,15.12518506,-72.34263261,XMM,J010030.1-722033,1.1,0.3,0.3,3.1e-14,2e-15,2e-15,1.1e-15,2e-16,2e-16,4e-15,2e-16,2e-16,2.6e-14,2e-15,2e-15,0.58,0.07,0.07,0.73,0.08,0.08,Gaia DR3 4690499218096543744,-0.0434,-2.54,1.42,0.02,0.048,0.8711,0.933,14.548,0.003,14.551,0.003,14.484,0.004,19983.0,1.536e-11,4e-14,4e-14,,,,14.5,0.04,14.32,0.05,14.13,0.06,13.8,0.03,13.56,0.03,12.7,0.4,9.19,,,,,,,,,0.002,0.0001,0.0001,0,HMXB,1
RX J0101.0-7206,B3.5Ve,15.26204601,-72.11638436,CXO,J010102.9-720658,0.9,0.2,0.2,5.4e-14,4e-15,4e-15,6e-15,9e-16,9e-16,5.7e-15,7e-16,6e-16,4.2e-14,4e-15,4e-15,-0.02,0.1,0.09,0.76,0.1,0.1,Gaia DR3 4690507052120063488,0.0928,2.94,1.47,0.04,0.138,2.535,1.111,15.658,0.003,15.654,0.004,15.576,0.005,32344.0,5.52e-12,1e-14,1e-14,,,,15.54,0.06,15.5,0.1,15.5,0.2,14.76,0.02,14.59,0.02,,,,,,,,,,,,0.0097,0.0007,0.0007,0,HMXB,1
RX J0101.3-7211,Be,15.33610978,-72.18860693,XMM,J010120.6-721119,,,,3.49e-13,7e-15,7e-15,9.8e-15,4e-16,4e-16,2.05e-14,4e-16,4e-16,3.19e-13,6e-15,6e-15,0.35,0.02,0.02,0.88,0.03,0.03,Gaia DR3 4690505613293360640,-0.0272,-0.8,1.47,0.04,0.217,6.593,1.054,15.59,0.005,15.498,0.009,15.69,0.02,27454.0,5.88e-12,2e-14,2e-14,,,,15.39,0.05,15.3,0.1,15.1,0.1,15.12,0.04,15.16,0.06,12.55,,8.75,,,,,,,,,0.059,0.001,0.001,0,HMXB,1
RX J0101.8-7223,Be,15.46791058,-72.39279589,CXO,J010152.2-722334,1.1,0.1,0.1,1.37e-12,8e-14,7e-14,5.4e-14,8e-15,7e-15,1.6e-13,1e-14,1e-14,1.16e-12,8e-14,7e-14,0.49,0.08,0.08,0.76,0.07,0.07,Gaia DR3 4687492917085083648,-0.0585,-2.97,1.49,0.02,0.056,0.8653,0.99,14.863,0.003,14.866,0.003,14.799,0.004,36576.0,1.15e-11,3e-14,3e-14,,,,14.92,0.04,14.71,0.05,14.57,0.09,14.1,0.03,13.85,0.03,12.65,,9.39,,,,,,,,,0.119,0.007,0.006,0,HMXB,1
RX J0103.6-7201,O5Ve,15.9064072,-72.0258954,CXO,J010337.5-720133,0.6,0.2,0.2,1.8e-13,1e-14,1e-14,9e-15,1e-15,1e-15,1.4e-14,2e-15,2e-15,1.6e-13,1e-14,1e-14,0.24,0.09,0.09,0.83,0.08,0.08,Gaia DR3 4690513034998265728,-0.016,-0.8,1.45,0.02,0.106,3.716,0.951,14.574,0.003,14.546,0.005,14.575,0.006,36404.0,1.5e-11,4e-14,4e-14,,,,14.62,0.03,14.54,0.06,14.26,0.07,14.1,0.03,14.01,0.03,12.39,,8.81,,,,,,,,,0.012,0.0007,0.0007,1,HMXB,1
RX J0105.5-7221,Be,16.147684,-72.36346729,XMM,J010435.4-722151,,,,5.1e-14,6e-15,6e-15,0.0,1e-16,1e-16,3.3e-15,5e-16,5e-16,4.8e-14,6e-15,6e-15,1.0,0.2,0.2,0.9,0.2,0.2,Gaia DR3 4687487900561970048,0.0193,0.76,1.49,0.03,0.147,4.606,1.065,15.121,0.003,15.121,0.005,15.069,0.006,34438.0,9.06e-12,3e-14,3e-14,,,,14.99,0.03,14.82,0.06,14.53,0.09,14.35,0.03,14.11,0.04,12.9,0.4,8.83,,,,,,,,,0.0057,0.0007,0.0007,0,HMXB,1
RX J0105.3-7210,Be,16.28199524,-72.19705622,XRT,7054,1.8,0.2,0.2,1.78e-13,7e-15,7e-15,5e-14,3e-15,3e-15,3.3e-14,2e-15,2e-15,9.5e-14,6e-15,6e-15,-0.2,0.05,0.05,0.49,0.05,0.05,Gaia DR3 4687503190647994624,-0.0236,-0.76,1.46,0.04,0.106,1.443,0.971,15.645,0.003,15.619,0.004,15.658,0.005,19853.0,5.59e-12,1e-14,1e-14,,,,15.57,0.09,15.5,0.2,14.3,,14.8,0.03,14.8,0.03,,,,,,,,,,,,0.032,0.001,0.001,1,star,
RX J0105.9-7203,Be,16.48023329,-72.06404935,CXO,J010555.2-720350,0.67,0.09,0.11,3.3e-14,2e-15,2e-15,2.2e-15,3e-16,3e-16,3.1e-15,4e-16,4e-16,2.8e-14,2e-15,2e-15,0.18,0.09,0.09,0.8,0.1,0.1,Gaia DR3 4687508001011164544,0.0048,0.17,1.41,0.03,0.096,1.368,1.009,15.552,0.003,15.553,0.005,15.491,0.005,33129.0,6.1e-12,2e-14,2e-14,,,,15.46,0.05,15.31,0.09,14.8,0.1,14.6,0.03,14.39,0.04,12.72,,9.41,,,,,,,,,0.0054,0.0004,0.0004,0,HMXB,1
XTE J0111-7317,B1IVe,17.78575314,-73.27953553,XMM,J011108.4-731646,,,,2.4e-14,5e-15,5e-15,2.7e-15,4e-16,4e-16,2.6e-15,4e-16,4e-16,1.9e-14,5e-15,5e-15,-0.0,0.1,0.1,0.8,0.3,0.3,Gaia DR3 4687174367933821952,-0.0879,-3.47,1.6,0.03,0.0,0.0,0.959,15.436,0.003,15.43,0.004,15.413,0.006,28046.0,6.78e-12,2e-14,2e-14,,,,15.1,0.05,15.19,0.09,14.9,0.1,14.53,0.03,14.25,0.04,12.36,,8.9,0.3,,,,,,,,0.0035,0.0007,0.0007,0,HMXB,1
CAS GAM-1,Be,19.63319348,63.74252241,XMM,J011831.9+634433,,,,4.3e-14,2e-15,2e-15,1.9e-15,3e-16,3e-16,1.97e-14,6e-16,6e-16,2.2e-14,1e-15,1e-15,0.83,0.04,0.04,0.05,0.04,0.04,Gaia DR3 524677469790488960,0.1363,8.34,1.76,0.01,0.0,0.0,1.017,14.3,0.01,15.44,0.03,13.25,0.04,6174.0,1.92e-11,2e-13,2e-13,5787.0,454.0,817.0,11.62,0.03,11.02,0.02,10.63,0.02,10.73,0.02,10.57,0.02,10.58,0.09,8.52,,,48.0,4.0,7.0,1.7273285e+32,2.7744637e+31,4.9167555e+31,0.00224,8e-05,8e-05,0,HMXB,1
ACHERNAR,B6Vpe,24.42854167,-57.23675278,XMM,J013742.6-571413,,,,5.2e-13,1e-14,1e-14,4.36e-13,1e-14,1e-14,6.7e-14,3e-15,3e-15,2e-14,6e-15,6e-15,-0.73,0.03,0.03,-0.54,0.08,0.08,,,,,,,,,,,,,,,,,,,,,,0.8,0.3,0.9,0.3,0.9,0.3,,,,,,,,,235.0,,,,,,,,,,2,star,
