Be_star,Type,RA,DEC,Xcat,Xidentifier,Gamma,e_Gamma,E_Gamma,Fb,e_Fb,E_Fb,Fs,e_Fs,E_Fs,Fm,e_Fm,E_Fm,Fh,e_Fh,E_Fh,HRms,e_HRms,E_HRms,HRhm,e_HRhm,E_HRhm,DR3Name,Plx,RPlx,PM,e_PM,epsi,sepsi,RUWE,G,e_G,BP,e_BP,RP,e_RP,Teff,Gflux,e_Gflux,E_Gflux,dist,e_dist,E_dist,J,e_J,H,e_H,K,e_K,W1,e_W1,W2,e_W2,W3,e_W3,W4,e_W4,Vsini,Vtran,e_Vtran,E_Vtran,LX,e_LX,E_LX,fX2O,e_fX2O,E_fX2O,match_flag,Class,ref
HD 165783,B4IIe,272.11288962,-19.86888089,XMM,J180827.0-195207,,,,4e-15,2e-15,2e-15,1.4e-15,5e-16,5e-16,1e-16,2e-16,2e-16,2e-15,2e-15,2e-15,-0.9,0.4,0.4,0.9,1.3,1.3,Gaia DR3 4095046193393026944,0.7041,29.26,1.6,0.02,0.123,9.205,0.877,8.262,0.003,8.428,0.004,7.927,0.005,,5.02e-09,1e-11,1e-11,1360.0,43.0,35.0,7.45,0.02,7.28,0.04,7.09,0.02,6.37,0.06,6.51,0.02,5.78,0.02,3.92,0.03,,10.3,0.3,0.3,8.18343e+29,4.921494e+29,4.912439e+29,7e-07,4e-07,4e-07,0,star,
V3903 Sgr,B6IIIe,272.32376308,-23.98840295,CXO,J180917.6-235918,7.6,0.7,0.8,1.47e-13,7e-15,1.8e-14,1.24e-13,6e-15,6e-15,2.2e-14,2e-15,2e-15,1e-20,1e-20,1.711875e-14,-0.7,0.05,0.05,-1.0,0.8,0.8,Gaia DR3 4066278846098710016,0.8368,32.42,3.02,0.03,0.14,9.786,0.77,7.212,0.004,7.28,0.008,7.012,0.008,20650.0,1.321e-08,4e-11,4e-11,1148.0,34.0,38.0,6.82,0.02,6.79,0.02,6.78,0.02,6.75,0.06,6.84,0.02,7.26,0.04,8.26,,,16.4,0.5,0.6,2.311146e+31,1.7114719e+30,3.2727662e+30,1.11e-05,5e-07,1.4e-06,0,YSO,1
Cl* NGC 6611 PPM 38,B8Ve,274.66563738,-13.78233464,CXO,J181839.7-134656,,,,4e-15,9e-16,9e-16,8e-16,3e-16,3e-16,1.5e-15,4e-16,4e-16,1.7e-15,8e-16,8e-16,0.3,0.2,0.2,0.1,0.3,0.3,Gaia DR3 4146600644357559680,0.5233,24.64,1.62,0.02,0.038,0.6931,1.097,13.494,0.003,13.914,0.004,12.876,0.004,,4.06e-11,1e-13,1e-13,1788.0,60.0,81.0,11.98,0.03,11.63,0.04,11.4,0.04,,,,,,,,,,13.8,0.5,0.6,1.5188027e+30,3.6207876e+29,3.7206328e+29,0.0001,2e-05,2e-05,0,star,
BD-13 4928,O9.5Vne,274.6782351,-13.78083224,CXO,J181842.7-134650,,,,5.6e-15,8e-16,8e-16,3.1e-15,6e-16,6e-16,1.4e-15,3e-16,3e-16,1.2e-15,5e-16,5e-16,-0.4,0.2,0.2,-0.1,0.3,0.3,Gaia DR3 4146600678717290624,0.591,35.98,1.64,0.01,0.065,4.6,0.903,9.926,0.003,10.201,0.004,9.458,0.005,14298.0,1.085e-09,3e-12,3e-12,1614.0,32.0,40.0,8.96,0.03,8.87,0.05,8.76,0.02,8.64,0.02,8.74,0.03,7.58,,2.79,,,12.6,0.3,0.3,1.752445e+30,2.7311055e+29,2.7844794e+29,5.2e-06,8e-07,8e-07,0,star,
Cl* NGC 6611 BKP 29783,Be,274.69220669,-13.91032611,CXO,J181846.1-135437,,,,1.3e-14,2e-15,2e-15,5.4e-15,8e-16,8e-16,2.8e-15,5e-16,5e-16,4e-15,2e-15,2e-15,-0.3,0.1,0.1,0.2,0.3,0.3,Gaia DR3 4146594219088502272,2.4877,4.57,2.3,0.5,3.23,5692.0,27.706,13.54,0.003,13.738,0.006,12.661,0.006,,3.89e-11,1e-13,1e-13,,,,11.91,0.04,11.57,0.04,11.34,0.03,11.539,0.002,,,,,,,,,,,,,,0.00032,5e-05,5e-05,1,YSO,1
BD-13 4933,B0.5Ve,274.7703287,-13.80568698,CXO,J181904.9-134819,,,,1.1e-15,4e-16,8e-16,5e-16,3e-16,3e-16,5e-16,2e-16,2e-16,1e-20,1e-20,7.2116e-16,-0.0,0.3,0.3,-1.0,1.5,1.5,Gaia DR3 4146599819725862912,0.5764,21.83,1.83,0.02,0.123,12.95,0.91,10.542,0.003,10.798,0.003,10.1,0.004,13667.0,6.15e-10,2e-12,2e-12,1641.0,68.0,69.0,9.58,0.02,9.45,0.02,9.31,0.02,9.28,0.03,9.03,0.03,4.16,0.05,0.19,0.03,,14.3,0.6,0.6,3.492669e+29,1.2548655e+29,2.6251666e+29,1.8e-06,6e-07,1.3e-06,0,star,
EM* AS 315,Be,280.25043644,-5.46437247,XMM,J184100.0-052749,,,,1.1e-14,5e-15,5e-15,2e-16,2e-16,2e-16,1e-15,4e-16,4e-16,1e-14,5e-15,5e-15,0.7,0.5,0.5,0.8,0.6,0.6,Gaia DR3 4256506967717461120,0.2322,8.32,4.08,0.03,0.223,49.24,1.391,10.154,0.003,11.474,0.004,9.026,0.005,,8.79e-10,2e-12,2e-12,3601.0,271.0,341.0,7.25,0.03,6.74,0.02,6.33,0.02,5.66,0.09,5.37,0.06,4.84,0.02,3.68,0.03,,70.0,5.0,7.0,1.7262107e+31,8.738356e+30,8.962976e+30,1.3e-05,6e-06,6e-06,0,star,
CX Dra,B2.5Ve,281.67961912,52.98793777,XMM,J184643.0+525916,,,,1.26e-12,2e-14,2e-14,6.4e-13,1e-14,1e-14,3.23e-13,7e-15,7e-15,3e-13,2e-14,2e-14,-0.33,0.02,0.02,-0.03,0.03,0.03,Gaia DR3 2146355278489784960,2.8262,48.18,12.02,0.08,0.404,172.8,1.078,5.861,0.005,5.83,0.01,5.84,0.02,15898.0,4.58e-08,2e-10,2e-10,352.0,7.0,7.0,5.87,0.02,5.8,0.02,5.79,0.02,5.6,0.1,5.28,0.06,5.12,0.01,4.87,0.03,163.0,20.1,0.4,0.4,1.8785561e+31,8.24804e+29,8.186322e+29,2.76e-05,5e-07,5e-07,0,star,
SHELIAK,B7Ve,282.51999065,33.36265039,XMM,J185004.7+332145,,,,9.6e-13,2e-14,2e-14,6.4e-13,1e-14,1e-14,1.85e-13,6e-15,6e-15,1.3e-13,1e-14,1e-14,-0.55,0.02,0.02,-0.16,0.05,0.05,Gaia DR3 2090687795056051328,3.5982,19.59,4.2,0.2,1.629,4405.0,3.241,3.6,0.02,3.67,0.04,3.46,0.04,17700.0,3.66e-07,5e-09,5e-09,280.0,13.0,15.0,3.4,0.3,3.4,0.3,3.2,0.4,3.013,0.0001,2.2339,0.0004,,,,,120.0,5.6,0.4,0.4,8.9746923e+30,8.788017e+29,1.0038838e+30,2.61e-06,7e-08,7e-08,0,star,
V558 Lyr,B3Ve,291.9016509,37.94117557,XMM,J192736.3+375628,,,,1.67e-12,4e-14,4e-14,2.7e-13,1e-14,1e-14,3.02e-13,8e-15,8e-15,1.1e-12,4e-14,4e-14,0.06,0.02,0.02,0.57,0.04,0.04,Gaia DR3 2051905889641367296,1.7801,51.54,4.7,0.04,0.31,102.9,0.824,6.225,0.003,6.183,0.004,6.23,0.007,28980.0,3.278e-08,9e-11,9e-11,556.0,11.0,10.0,6.25,0.02,6.18,0.02,6.05,0.02,5.8,0.1,5.42,0.06,4.72,0.01,3.96,0.02,220.0,12.4,0.3,0.2,6.182168e+31,2.995687e+30,2.7242043e+30,5.1e-05,1e-06,1e-06,0,GCA,4
HD 344783,B0IVe,295.77827914,23.27008315,CXO,J194306.7+231612,,,,1.6e-14,7e-15,2e-14,1e-14,6e-15,6e-15,6e-15,3e-15,3e-15,1e-20,1e-20,1.845615e-14,-0.3,0.4,0.5,-1.0,3.2,3.2,Gaia DR3 2020088874998745600,-0.0906,-0.64,6.1,0.1,1.26,2522.0,8.287,9.72,0.003,9.906,0.003,9.274,0.004,28929.0,1.312e-09,3e-12,3e-12,,,,8.78,0.02,8.71,0.03,8.65,0.02,8.61,0.03,8.65,0.03,9.12,0.09,8.5,,,,,,,,,1.2e-05,5e-06,1.5e-05,0,star,
HD 190864,O7IIIe,301.4158261,35.60774586,XMM,J200539.8+353627,,,,1e-13,4e-15,4e-15,8.2e-14,3e-15,3e-15,1.7e-14,1e-15,1e-15,1e-15,2e-15,2e-15,-0.65,0.03,0.03,-0.9,0.2,0.2,Gaia DR3 2059070135632404992,0.5264,29.19,7.31,0.02,0.155,18.95,0.874,7.688,0.003,7.776,0.003,7.471,0.004,19715.0,8.52e-09,2e-11,2e-11,1818.0,58.0,59.0,7.26,0.02,7.28,0.02,7.26,0.02,7.2,0.03,7.27,0.02,7.17,0.02,6.67,0.08,100.0,63.0,2.0,2.0,3.9715856e+31,2.9238772e+30,2.967111e+30,1.18e-05,4e-07,4e-07,0,star,
HD 228256,Bpe,302.97652324,40.00820588,XRT,128863,2.3,0.4,0.8,2e-13,2e-14,2e-14,8e-14,1e-14,1e-14,3.9e-14,6e-15,6e-15,7e-14,1e-14,1e-14,-0.4,0.1,0.1,0.3,0.1,0.1,Gaia DR3 2062398391672763392,0.4373,35.68,5.71,0.01,0.09,11.15,1.008,9.951,0.006,10.32,0.01,9.39,0.02,37487.0,1.06e-09,6e-12,6e-12,2179.0,64.0,63.0,8.4,0.03,8.11,0.02,7.76,0.02,7.33,0.03,7.09,0.02,6.38,0.02,5.61,0.05,,59.0,2.0,2.0,1.120069e+32,1.2803136e+31,1.2756166e+31,0.00019,2e-05,2e-05,0,star,
HD 228438,B0.5IIIe,303.45950266,36.62290262,XMM,J201350.2+363722,,,,5e-15,2e-15,2e-15,3.3e-15,6e-16,6e-16,1.1e-15,3e-16,3e-16,1e-15,2e-15,2e-15,-0.5,0.2,0.2,-0.2,1.0,1.0,Gaia DR3 2060497129916833024,0.4262,16.98,6.91,0.03,0.243,51.03,1.491,8.116,0.003,8.364,0.003,7.675,0.004,35008.0,5.74e-09,2e-11,2e-11,2243.0,105.0,155.0,7.18,0.03,7.05,0.02,6.76,0.02,6.3,0.09,5.91,0.04,5.26,0.01,4.45,0.03,,73.0,3.0,5.0,3.1464743e+30,1.2408957e+30,1.2808492e+30,9e-07,3e-07,3e-07,0,star,
HD 228535,B2IVe,303.73052859,36.8535391,XMM,J201455.4+365111,,,,8e-15,6e-15,6e-15,9e-16,6e-16,6e-16,2.1e-15,7e-16,7e-16,5e-15,6e-15,6e-15,0.4,0.3,0.3,0.4,0.8,0.8,Gaia DR3 2060529153194842880,0.4296,30.43,6.53,0.02,0.128,23.8,1.22,10.045,0.003,10.421,0.005,9.492,0.009,31791.0,9.72e-10,3e-12,3e-12,2233.0,93.0,73.0,9.34,0.02,9.24,0.02,9.2,0.01,8.04,0.02,7.86,0.02,7.52,0.02,7.05,0.08,,69.0,3.0,2.0,5.0209497e+30,3.517436e+30,3.508166e+30,9e-06,6e-06,6e-06,1,star,
V2246 Cyg,B0Ve,308.06362686,37.6374324,XMM,J203215.2+373815,,,,1.682e-10,3e-13,3e-13,2.25e-13,5e-15,5e-15,2.94e-12,1e-14,1e-14,1.65e-10,3e-13,3e-13,0.858,0.006,0.006,0.965,0.003,0.003,Gaia DR3 2063791369815322752,0.3418,4.04,6.37,0.09,0.637,17.18,0.988,16.891,0.003,19.49,0.04,15.419,0.01,5190.0,1.775e-12,6e-15,6e-15,,,,12.05,0.02,10.84,0.02,10.07,0.02,9.18,0.02,8.81,0.02,7.17,0.03,6.1,0.07,,,,,,,,94.7,0.3,0.3,0,HMXB,3
V2188 Cyg,Be,308.32719691,41.25974459,CXO,J203318.5+411535,,,,2.3e-15,6e-16,6e-16,1e-20,1e-20,6.019e-17,5e-16,2e-16,2e-16,1.8e-15,6e-16,6e-16,1.0,0.5,0.5,0.5,0.3,0.3,Gaia DR3 2067783559095152768,0.5539,41.17,5.04,0.02,0.059,2.678,1.088,13.559,0.006,15.31,0.01,12.3,0.01,33804.0,3.82e-11,2e-13,2e-13,1667.0,43.0,44.0,9.41,0.02,8.58,0.02,7.98,0.01,7.19,0.05,6.81,0.02,6.21,0.03,5.96,,,40.0,1.0,1.0,7.742705e+29,1.9784264e+29,1.9904905e+29,6e-05,2e-05,2e-05,0,star,
W Del,A0Ve,309.41700757,18.28439534,XMM,J203740.1+181702,,,,1.3e-14,4e-15,4e-15,9e-15,2e-15,2e-15,2.8e-15,7e-16,7e-16,1e-15,4e-15,4e-15,-0.5,0.2,0.2,-0.4,1.0,1.0,Gaia DR3 1812558769663138176,1.2538,45.9,5.55,0.02,0.227,72.38,1.483,9.732,0.003,9.779,0.004,9.602,0.006,,1.297e-09,4e-12,4e-12,784.0,16.0,16.0,9.36,0.02,9.14,0.04,9.1,0.02,8.95,0.02,8.99,0.02,9.0,0.04,9.08,,30.0,20.6,0.4,0.4,9.864897e+29,2.9713353e+29,2.968991e+29,1e-05,3e-06,3e-06,0,star,
V1493 Cyg,A2Ve,313.01933292,44.62510682,XMM,J205204.7+443733,,,,5e-15,4e-15,4e-15,3e-16,4e-16,4e-16,7e-16,4e-16,4e-16,4e-15,4e-15,4e-15,0.4,0.6,0.6,0.7,1.1,1.1,Gaia DR3 2163147741628918144,0.8711,19.21,3.83,0.05,0.477,141.5,3.607,13.854,0.006,15.45,0.02,12.58,0.01,,2.91e-11,1e-13,1e-13,1103.0,55.0,61.0,10.23,0.02,9.06,0.03,8.12,0.02,6.48,0.07,5.65,0.05,3.33,0.01,1.84,0.02,,20.0,1.0,1.0,7.205226e+29,6.2214534e+29,6.231832e+29,0.0002,0.0001,0.0001,0,YSO,1
HD 198931,B1Vnne,313.04047666,44.43459682,CXO,J205209.7+442605,4.0,0.6,1.0,2.3e-14,4e-15,1.2e-14,1.2e-14,2e-15,2e-15,1.2e-14,2e-15,2e-15,1e-20,1e-20,1.193741e-14,0.0,0.2,0.1,-1.0,1.1,1.1,Gaia DR3 2162956598400314624,0.5433,2.47,3.2,0.2,2.059,3398.0,13.463,8.489,0.003,8.858,0.003,7.88,0.004,22381.0,4.07e-09,1e-11,1e-11,,,,7.13,0.02,6.86,0.03,6.53,0.02,6.17,0.08,5.7,0.04,5.08,0.02,4.22,0.03,,,,,,,,5.7e-06,9e-07,3e-06,0,star,
59 Cyg,B1.5Vnne,314.95652723,47.52095244,XMM,J205949.6+473115,,,,4.5e-14,4e-15,4e-15,4e-14,3e-15,3e-15,2.9e-15,7e-16,7e-16,2e-15,3e-15,3e-15,-0.86,0.09,0.09,-0.3,0.6,0.6,Gaia DR3 2163949388695291136,1.4681,3.99,8.8,0.4,2.931,10390.0,2.724,4.55,0.004,4.604,0.005,4.5,0.01,41342.0,1.534e-07,6e-10,6e-10,,,,4.7,0.3,4.46,0.08,4.3,0.3,4.0025,0.0002,3.2015,0.0005,,,,,379.0,,,,,,,2.9e-07,3e-08,3e-08,0,star,
GSC 03588-00834,B0Ve,315.89876969,45.75153283,CXO,J210335.6+454505,1.8,0.2,0.2,2.27e-13,9e-15,9e-15,6.5e-15,9e-16,9e-16,2.8e-14,2e-15,2e-15,1.93e-13,9e-15,9e-15,0.62,0.07,0.07,0.75,0.05,0.05,Gaia DR3 2162805896614571904,0.1309,10.11,4.72,0.01,0.0,0.0,1.09,13.774,0.006,14.48,0.02,12.95,0.02,29373.0,3.13e-11,2e-13,2e-13,6218.0,448.0,576.0,11.84,0.02,11.53,0.02,11.36,0.02,10.53,0.02,10.48,0.02,10.3,0.1,8.73,,,139.0,10.0,13.0,1.0523518e+33,1.5741504e+32,1.9940752e+32,0.0073,0.0003,0.0003,0,HMXB,1
V2156 Cyg,B1.5Vnnpe,321.26017958,44.45175948,XMM,J212502.4+442706,0.9,0.3,0.5,4.2e-13,2e-14,2e-14,4e-15,2e-15,2e-15,4.8e-14,3e-15,3e-15,3.7e-13,2e-14,2e-14,0.83,0.1,0.1,0.77,0.07,0.07,Gaia DR3 1970815567066416128,1.0899,64.34,2.69,0.02,0.12,16.4,1.067,8.658,0.003,8.987,0.003,8.125,0.004,28989.0,3.486e-09,9e-12,9e-12,901.0,13.0,10.0,7.43,0.02,7.21,0.02,6.94,0.02,6.47,0.08,6.1,0.04,5.42,0.01,4.6,0.03,,11.5,0.2,0.1,4.0607717e+31,2.5186328e+30,2.3964792e+30,0.00012,7e-06,7e-06,0,GCA,4
ALFIRK,B2IIIev,322.1650527,70.56071945,XMM,J212839.5+703339,,,,1.002e-12,4e-15,4e-15,8.92e-13,3e-15,3e-15,9.97e-14,9e-16,9e-16,1.03e-14,7e-16,7e-16,-0.799,0.005,0.005,-0.81,0.01,0.01,Gaia DR3 2272185759996420992,,,,,7.374,74990.0,,3.195,0.009,3.16,0.01,3.379,0.008,,5.34e-07,4e-09,4e-09,,,,3.6,0.2,3.7,0.2,3.9,0.03,3.9699,0.0002,3.4883,0.0004,,,,,20.0,,,,,,,1.87e-06,2e-08,2e-08,0,star,
V490 Cep,B1.5Ve,324.87785209,56.98621853,CXO,J213930.6+565910,1.4,0.3,0.3,6.7e-13,6e-14,6e-14,1.8e-14,5e-15,5e-15,6.9e-14,9e-15,9e-15,5.8e-13,6e-14,6e-14,0.6,0.1,0.1,0.8,0.1,0.1,Gaia DR3 2178178409188167296,0.1048,8.28,3.69,0.01,0.0,0.0,1.037,13.816,0.003,14.523,0.005,12.97,0.005,,3.015e-11,8e-14,8e-14,7447.0,492.0,576.0,11.83,0.02,11.41,0.03,10.93,0.02,10.44,0.02,10.07,0.02,9.15,0.03,7.9,0.1,,130.0,9.0,10.0,4.430527e+33,7.002224e+32,7.856537e+32,0.022,0.002,0.002,0,HMXB,1
EM Cep,B0.5Ve,328.45040039,62.61442167,CXO,J215348.1+623651,,,,5e-15,1e-15,1e-15,3e-15,1e-15,9e-16,1.1e-15,4e-16,4e-16,8e-16,6e-16,6e-16,-0.5,0.3,0.3,-0.2,0.4,0.4,Gaia DR3 2204369875668251264,1.5214,7.95,2.9,0.2,2.102,4734.0,10.054,6.959,0.004,7.064,0.007,6.705,0.008,23123.0,1.667e-08,5e-11,5e-11,697.0,74.0,96.0,6.49,0.03,6.5,0.03,6.52,0.02,6.45,0.07,6.43,0.02,6.28,0.01,5.66,0.04,304.0,10.0,1.0,2.0,2.8014334e+29,9.3208955e+28,1.0393653e+29,2.9e-07,7e-08,7e-08,0,star,
BD+53 2790,O9.5IIIe,331.98428755,54.51843217,XMM,J220756.2+543106,0.0,0.1,3.4,9.877e-11,9e-14,9e-14,3.71e-12,1e-14,1e-14,1.181e-11,2e-14,2e-14,8.324e-11,8e-14,8e-14,0.522,0.002,0.002,0.751,0.001,0.001,Gaia DR3 2005653524280214400,0.3051,22.42,5.33,0.01,0.107,14.0,0.979,9.743,0.003,9.881,0.003,9.464,0.004,20008.0,1.283e-09,3e-12,3e-12,3104.0,136.0,134.0,9.22,0.03,9.12,0.03,9.04,0.02,8.7,0.02,8.56,0.02,8.19,0.02,7.9,0.2,,78.0,3.0,3.0,1.1389164e+35,9.9593205e+33,9.816131e+33,0.077,0.0002,0.0002,0,HMXB,3
pi Aqr,B1Ve,336.31934039,1.37740985,XMM,J222516.6+012238,,,,8.19e-12,3e-14,3e-14,7.91e-13,6e-15,6e-15,1.286e-12,5e-15,5e-15,6.11e-12,3e-14,3e-14,0.238,0.004,0.004,0.652,0.005,0.005,Gaia DR3 2702544403629124224,2.9761,26.37,17.7,0.2,0.759,746.3,0.952,4.525,0.005,4.52,0.01,4.46,0.02,37395.0,1.569e-07,7e-10,7e-10,330.0,11.0,14.0,5.3,0.04,5.36,0.05,5.35,0.02,4.6,0.2,4.0,0.2,4.07,0.02,3.61,0.03,230.0,27.7,0.9,1.2,1.0664302e+32,6.99767e+30,8.989434e+30,5.22e-05,3e-07,3e-07,0,GCA,5
4U 2238+60,Be,339.8368298,61.27405312,CXO,J223920.8+611626,,,,3.9e-13,5e-14,5e-14,4e-15,2e-15,2e-15,1.9e-14,5e-15,5e-15,3.6e-13,5e-14,5e-14,0.6,0.3,0.3,0.9,0.2,0.2,Gaia DR3 2201091578667140352,0.104,7.44,2.56,0.01,0.044,1.044,1.105,14.105,0.005,15.06,0.009,13.12,0.01,16440.0,2.311e-11,1e-13,1e-13,7388.0,676.0,856.0,11.45,0.03,10.95,0.03,10.56,0.02,10.18,0.02,9.95,0.02,9.48,0.05,8.3,0.2,,89.0,8.0,10.0,2.5191325e+33,5.599937e+32,6.6483624e+32,0.017,0.002,0.002,0,HMXB,3
HD 215227,B5ne,340.73874141,44.7217246,XMM,J224257.2+444315,,,,6e-15,3e-15,3e-15,3.2e-15,7e-16,7e-16,1.4e-15,4e-16,4e-16,2e-15,2e-15,2e-15,-0.4,0.2,0.2,0.1,0.8,0.8,Gaia DR3 1982359580155628160,0.486,26.31,4.7,0.02,0.158,39.01,1.139,8.705,0.003,8.769,0.003,8.495,0.005,,3.34e-09,9e-12,9e-12,1985.0,77.0,81.0,8.23,0.03,8.13,0.02,7.88,0.02,7.39,0.03,7.03,0.02,6.47,0.02,5.9,0.05,,44.0,2.0,2.0,3.0217563e+30,1.2507532e+30,1.2530404e+30,1.9e-06,8e-07,8e-07,0,HMXB,7
EM* MWC 659,B0IIIpe,341.93901022,57.28076541,XMM,J224745.2+571650,1.8,0.9,1.0,1.13e-12,2e-14,2e-14,4.7e-14,2e-15,2e-15,1.31e-13,3e-15,3e-15,9.5e-13,2e-14,2e-14,0.48,0.02,0.02,0.76,0.03,0.03,Gaia DR3 2007135459792401408,0.2773,23.18,4.49,0.01,0.086,10.93,0.949,9.917,0.003,10.209,0.003,9.415,0.004,41066.0,1.094e-09,3e-12,3e-12,3409.0,185.0,170.0,8.84,0.02,8.56,0.03,8.22,0.02,7.78,0.03,7.43,0.02,6.49,0.01,5.52,0.04,,73.0,4.0,4.0,1.5745313e+33,1.7395288e+32,1.6070621e+32,0.00103,2e-05,2e-05,0,GCA,5
BD+61 2355,B7IVe,343.12167382,62.68602526,XMM,J225228.9+624110,,,,3e-14,2e-14,2e-14,8e-15,2e-15,2e-15,1e-14,2e-15,2e-15,1e-14,2e-14,2e-14,0.1,0.2,0.2,0.1,0.7,0.7,Gaia DR3 2207278904253598976,1.6821,23.86,4.75,0.07,0.769,747.1,5.037,9.562,0.003,9.714,0.003,9.158,0.004,13752.0,1.516e-09,4e-12,4e-12,590.0,22.0,19.0,8.75,0.02,8.66,0.03,8.6,0.02,8.56,0.02,8.55,0.02,7.93,0.02,5.57,0.03,,13.3,0.5,0.5,1.2435317e+30,6.4862104e+29,6.466289e+29,2e-05,1e-05,1e-05,0,star,
